Series:str,Age:int,Sex:str,Deferred_Period:str,Occupation:str,Value:float
IP06,17,M,DP4,OC1,0.001183
IP06,18,M,DP4,OC1,0.001268
IP06,19,M,DP4,OC1,0.0013599999999999999
IP06,20,M,DP4,OC1,0.001459
IP06,21,M,DP4,OC1,0.001564
IP06,22,M,DP4,OC1,0.0016769999999999999
IP06,23,M,DP4,OC1,0.0017989999999999998
IP06,24,M,DP4,OC1,0.001929
IP06,25,M,DP4,OC1,0.002069
IP06,26,M,DP4,OC1,0.002218
IP06,27,M,DP4,OC1,0.002379
IP06,28,M,DP4,OC1,0.0025510000000000003
IP06,29,M,DP4,OC1,0.002736
IP06,30,M,DP4,OC1,0.002934
IP06,31,M,DP4,OC1,0.003146
IP06,32,M,DP4,OC1,0.0033740000000000003
IP06,33,M,DP4,OC1,0.003618
IP06,34,M,DP4,OC1,0.0038799999999999998
IP06,35,M,DP4,OC1,0.004161
IP06,36,M,DP4,OC1,0.004462
IP06,37,M,DP4,OC1,0.004785
IP06,38,M,DP4,OC1,0.005131
IP06,39,M,DP4,OC1,0.005503
IP06,40,M,DP4,OC1,0.005901
IP06,41,M,DP4,OC1,0.006328
IP06,42,M,DP4,OC1,0.006786
IP06,43,M,DP4,OC1,0.007277
IP06,44,M,DP4,OC1,0.007804000000000001
IP06,45,M,DP4,OC1,0.008369
IP06,46,M,DP4,OC1,0.008975
IP06,47,M,DP4,OC1,0.009625
IP06,48,M,DP4,OC1,0.010320999999999999
IP06,49,M,DP4,OC1,0.011068000000000001
IP06,50,M,DP4,OC1,0.01187
IP06,51,M,DP4,OC1,0.012729
IP06,52,M,DP4,OC1,0.01365
IP06,53,M,DP4,OC1,0.014638
IP06,54,M,DP4,OC1,0.015698
IP06,55,M,DP4,OC1,0.016834000000000002
IP06,56,M,DP4,OC1,0.018053
IP06,57,M,DP4,OC1,0.01936
IP06,58,M,DP4,OC1,0.020761
IP06,59,M,DP4,OC1,0.022264
IP06,60,M,DP4,OC1,0.023875
IP06,61,M,DP4,OC1,0.025602999999999997
IP06,62,M,DP4,OC1,0.027457
IP06,63,M,DP4,OC1,0.029444
IP06,64,M,DP4,OC1,0.031576
IP06,65,M,DP4,OC1,0.033861
IP06,66,M,DP4,OC1,0.036312
IP06,67,M,DP4,OC1,0.038941
IP06,68,M,DP4,OC1,0.041760000000000005
IP06,69,M,DP4,OC1,0.044782
IP06,70,M,DP4,OC1,0.048024000000000004
IP06,17,F,DP4,OC1,0.0016530000000000002
IP06,18,F,DP4,OC1,0.001772
IP06,19,F,DP4,OC1,0.0019
IP06,20,F,DP4,OC1,0.002038
IP06,21,F,DP4,OC1,0.002186
IP06,22,F,DP4,OC1,0.002344
IP06,23,F,DP4,OC1,0.002513
IP06,24,F,DP4,OC1,0.002695
IP06,25,F,DP4,OC1,0.0028899999999999998
IP06,26,F,DP4,OC1,0.0031
IP06,27,F,DP4,OC1,0.003324
IP06,28,F,DP4,OC1,0.003565
IP06,29,F,DP4,OC1,0.0038229999999999996
IP06,30,F,DP4,OC1,0.004099
IP06,31,F,DP4,OC1,0.004396
IP06,32,F,DP4,OC1,0.004714
IP06,33,F,DP4,OC1,0.005056000000000001
IP06,34,F,DP4,OC1,0.005422
IP06,35,F,DP4,OC1,0.005814
IP06,36,F,DP4,OC1,0.006235
IP06,37,F,DP4,OC1,0.006686
IP06,38,F,DP4,OC1,0.00717
IP06,39,F,DP4,OC1,0.007689
IP06,40,F,DP4,OC1,0.008246
IP06,41,F,DP4,OC1,0.008843
IP06,42,F,DP4,OC1,0.009483
IP06,43,F,DP4,OC1,0.010169
IP06,44,F,DP4,OC1,0.010905
IP06,45,F,DP4,OC1,0.011694
IP06,46,F,DP4,OC1,0.012541
IP06,47,F,DP4,OC1,0.013449000000000001
IP06,48,F,DP4,OC1,0.014421999999999999
IP06,49,F,DP4,OC1,0.015465999999999999
IP06,50,F,DP4,OC1,0.016586
IP06,51,F,DP4,OC1,0.017786
IP06,52,F,DP4,OC1,0.019074
IP06,53,F,DP4,OC1,0.020454
IP06,54,F,DP4,OC1,0.021935
IP06,55,F,DP4,OC1,0.023523
IP06,56,F,DP4,OC1,0.025226
IP06,57,F,DP4,OC1,0.027052
IP06,58,F,DP4,OC1,0.02901
IP06,59,F,DP4,OC1,0.031110000000000002
IP06,60,F,DP4,OC1,0.033362
IP06,61,F,DP4,OC1,0.035776
IP06,62,F,DP4,OC1,0.038366000000000004
IP06,63,F,DP4,OC1,0.041143
IP06,64,F,DP4,OC1,0.044121
IP06,65,F,DP4,OC1,0.047314999999999996
IP06,66,F,DP4,OC1,0.05074
IP06,67,F,DP4,OC1,0.054412999999999996
IP06,68,F,DP4,OC1,0.058352
IP06,69,F,DP4,OC1,0.06257599999999999
IP06,70,F,DP4,OC1,0.067105
IP06,17,M,DP4,OC2,0.0012109999999999998
IP06,18,M,DP4,OC2,0.001299
IP06,19,M,DP4,OC2,0.001393
IP06,20,M,DP4,OC2,0.0014939999999999999
IP06,21,M,DP4,OC2,0.001602
IP06,22,M,DP4,OC2,0.001718
IP06,23,M,DP4,OC2,0.001842
IP06,24,M,DP4,OC2,0.0019760000000000003
IP06,25,M,DP4,OC2,0.0021190000000000002
IP06,26,M,DP4,OC2,0.0022719999999999997
IP06,27,M,DP4,OC2,0.002437
IP06,28,M,DP4,OC2,0.002613
IP06,29,M,DP4,OC2,0.002802
IP06,30,M,DP4,OC2,0.003005
IP06,31,M,DP4,OC2,0.0032229999999999997
IP06,32,M,DP4,OC2,0.0034560000000000003
IP06,33,M,DP4,OC2,0.003706
IP06,34,M,DP4,OC2,0.003974
IP06,35,M,DP4,OC2,0.004262
IP06,36,M,DP4,OC2,0.00457
IP06,37,M,DP4,OC2,0.004901
IP06,38,M,DP4,OC2,0.005256
IP06,39,M,DP4,OC2,0.0056359999999999995
IP06,40,M,DP4,OC2,0.006044
IP06,41,M,DP4,OC2,0.006481999999999999
IP06,42,M,DP4,OC2,0.006951000000000001
IP06,43,M,DP4,OC2,0.0074540000000000006
IP06,44,M,DP4,OC2,0.007994
IP06,45,M,DP4,OC2,0.008573
IP06,46,M,DP4,OC2,0.009193000000000002
IP06,47,M,DP4,OC2,0.009858
IP06,48,M,DP4,OC2,0.010572
