Age exact x,0,1,2,3,4,5+
18,0.000036,0.000062,0.000084,0.000084,0.000093,0.000106
19,0.000037,0.000063,0.000086,0.000086,0.000095,0.000109
20,0.000038,0.000065,0.000089,0.000089,0.000098,0.000112
21,0.000040,0.000069,0.000094,0.000094,0.000104,0.000119
22,0.000042,0.000073,0.000100,0.000100,0.000110,0.000126
23,0.000045,0.000077,0.000105,0.000105,0.000117,0.000133
24,0.000047,0.000082,0.000112,0.000112,0.000124,0.000141
25,0.000050,0.000087,0.000119,0.000119,0.000131,0.000150
26,0.000053,0.000092,0.000126,0.000126,0.000139,0.000159
27,0.000057,0.000098,0.000134,0.000134,0.000148,0.000169
28,0.000060,0.000105,0.000143,0.000143,0.000158,0.000180
29,0.000065,0.000112,0.000152,0.000152,0.000168,0.000192
30,0.000069,0.000119,0.000163,0.000163,0.000180,0.000205
31,0.000074,0.000128,0.000174,0.000174,0.000193,0.000220
32,0.000079,0.000137,0.000186,0.000186,0.000206,0.000235
33,0.000085,0.000146,0.000200,0.000200,0.000221,0.000252
34,0.000091,0.000157,0.000214,0.000214,0.000236,0.000270
35,0.000097,0.000168,0.000230,0.000230,0.000254,0.000290
36,0.000105,0.000181,0.000247,0.000247,0.000273,0.000311
37,0.000112,0.000195,0.000265,0.000265,0.000293,0.000335
38,0.000121,0.000209,0.000286,0.000286,0.000316,0.000361
39,0.000131,0.000226,0.000308,0.000308,0.000340,0.000389
40,0.000141,0.000244,0.000333,0.000333,0.000367,0.000419
41,0.000152,0.000263,0.000359,0.000359,0.000397,0.000453
42,0.000165,0.000285,0.000389,0.000389,0.000429,0.000490
43,0.000178,0.000308,0.000421,0.000421,0.000465,0.000531
44,0.000193,0.000334,0.000456,0.000456,0.000504,0.000575
45,0.000210,0.000363,0.000495,0.000495,0.000547,0.000624
46,0.000228,0.000394,0.000538,0.000538,0.000594,0.000678
47,0.000248,0.000428,0.000585,0.000585,0.000646,0.000737
48,0.000270,0.000466,0.000636,0.000636,0.000703,0.000802
49,0.000294,0.000508,0.000693,0.000693,0.000766,0.000874
50,0.000321,0.000554,0.000756,0.000756,0.000836,0.000954
51,0.000350,0.000605,0.000826,0.000826,0.000913,0.001042
52,0.000383,0.000662,0.000903,0.000903,0.000998,0.001139
53,0.000419,0.000724,0.000988,0.000988,0.001092,0.001246
54,0.000459,0.000793,0.001083,0.001083,0.001196,0.001366
55,0.000503,0.000870,0.001188,0.001188,0.001312,0.001498
56,0.000553,0.000956,0.001304,0.001304,0.001441,0.001645
57,0.000607,0.001050,0.001434,0.001434,0.001584,0.001808
58,0.000668,0.001156,0.001577,0.001577,0.001743,0.001989
59,0.000736,0.001273,0.001738,0.001738,0.001920,0.002191
60,0.000812,0.001404,0.001916,0.001916,0.002117,0.002416
61,0.000896,0.001550,0.002115,0.002115,0.002337,0.002667
62,0.000990,0.001713,0.002338,0.002338,0.002582,0.002948
63,0.001096,0.001895,0.002586,0.002586,0.002857,0.003261
64,0.001213,0.002098,0.002864,0.002864,0.003164,0.003611
65,0.001345,0.002326,0.003175,0.003175,0.003507,0.004004
66,0.001493,0.002581,0.003523,0.003523,0.003892,0.004443
67,0.001659,0.002868,0.003914,0.003914,0.004324,0.004936
68,0.001845,0.003190,0.004353,0.004353,0.004809,0.005490
69,0.002054,0.003551,0.004847,0.004847,0.005354,0.006112
70,0.002289,0.003957,0.005401,0.005401,0.005967,0.006811
71,0.002553,0.004415,0.006026,0.006026,0.006657,0.007599
72,0.002851,0.004931,0.006730,0.006730,0.007434,0.008486
73,0.003198,0.005529,0.007547,0.007547,0.008336,0.009517
74,0.003617,0.006254,0.008536,0.008536,0.009430,0.010765
75,0.004133,0.007147,0.009755,0.009755,0.010776,0.012301
76,,0.008236,0.011241,0.011241,0.012417,0.014175
77,,,0.013012,0.013012,0.014374,0.016408
78,,,,0.015081,0.016659,0.019017
79,,,,,0.019296,0.022028
80,,,,,,0.025532
81,,,,,,0.029724
82,,,,,,0.034806
83,,,,,,0.040829
84,,,,,,0.047831
85,,,,,,0.055997
86,,,,,,0.065589
87,,,,,,0.077020
88,,,,,,0.090813
89,,,,,,0.107263
90,,,,,,0.125960
