Age exact x,0,1,2,3,4,5+
18,0.000058,0.000090,0.000123,0.000123,0.000144,0.000152
19,0.000060,0.000093,0.000127,0.000127,0.000149,0.000157
20,0.000062,0.000096,0.000131,0.000131,0.000154,0.000162
21,0.000066,0.000101,0.000138,0.000138,0.000162,0.000171
22,0.000069,0.000107,0.000146,0.000146,0.000172,0.000181
23,0.000074,0.000113,0.000155,0.000155,0.000182,0.000192
24,0.000078,0.000120,0.000164,0.000164,0.000193,0.000203
25,0.000083,0.000128,0.000175,0.000175,0.000205,0.000216
26,0.000088,0.000135,0.000185,0.000185,0.000217,0.000229
27,0.000094,0.000144,0.000197,0.000197,0.000232,0.000244
28,0.000100,0.000154,0.000210,0.000210,0.000247,0.000260
29,0.000106,0.000164,0.000224,0.000224,0.000263,0.000277
30,0.000114,0.000175,0.000239,0.000239,0.000281,0.000296
31,0.000121,0.000187,0.000255,0.000255,0.000300,0.000316
32,0.000130,0.000200,0.000273,0.000273,0.000321,0.000338
33,0.000139,0.000214,0.000293,0.000293,0.000344,0.000363
34,0.000149,0.000230,0.000314,0.000314,0.000369,0.000389
35,0.000160,0.000246,0.000337,0.000337,0.000396,0.000417
36,0.000172,0.000265,0.000362,0.000362,0.000425,0.000448
37,0.000185,0.000285,0.000389,0.000389,0.000457,0.000482
38,0.000199,0.000307,0.000419,0.000419,0.000492,0.000519
39,0.000214,0.000330,0.000451,0.000451,0.000529,0.000558
40,0.000236,0.000363,0.000496,0.000496,0.000583,0.000614
41,0.000266,0.000409,0.000559,0.000559,0.000657,0.000692
42,0.000299,0.000461,0.000630,0.000630,0.000740,0.000780
43,0.000337,0.000519,0.000710,0.000710,0.000834,0.000879
44,0.000380,0.000585,0.000800,0.000800,0.000940,0.000990
45,0.000429,0.000660,0.000902,0.000902,0.001059,0.001116
46,0.000483,0.000743,0.001016,0.001016,0.001194,0.001258
47,0.000544,0.000838,0.001145,0.001145,0.001345,0.001418
48,0.000613,0.000944,0.001291,0.001291,0.001516,0.001598
49,0.000691,0.001064,0.001455,0.001455,0.001709,0.001800
50,0.000779,0.001199,0.001639,0.001639,0.001926,0.002029
51,0.000878,0.001351,0.001848,0.001848,0.002170,0.002287
52,0.000989,0.001523,0.002082,0.002082,0.002445,0.002577
53,0.001115,0.001716,0.002346,0.002346,0.002756,0.002904
54,0.001256,0.001934,0.002644,0.002644,0.003105,0.003272
55,0.001416,0.002179,0.002979,0.002979,0.003499,0.003687
56,0.001595,0.002455,0.003357,0.003357,0.003943,0.004155
57,0.001798,0.002767,0.003783,0.003783,0.004443,0.004681
58,0.002026,0.003117,0.004262,0.004262,0.005006,0.005275
59,0.002282,0.003512,0.004802,0.004802,0.005640,0.005943
60,0.002571,0.003957,0.005410,0.005410,0.006354,0.006696
61,0.002897,0.004458,0.006095,0.006095,0.007159,0.007543
62,0.003263,0.005022,0.006866,0.006866,0.008065,0.008498
63,0.003676,0.005657,0.007735,0.007735,0.009084,0.009573
64,0.004140,0.006372,0.008712,0.008712,0.010233,0.010782
65,0.004663,0.007177,0.009813,0.009813,0.011525,0.012144
66,0.005252,0.008083,0.011051,0.011051,0.012979,0.013677
67,0.005914,0.009102,0.012444,0.012444,0.014616,0.015401
68,0.006659,0.010249,0.014012,0.014012,0.016457,0.017342
69,0.007489,0.011526,0.015758,0.015758,0.018507,0.019502
70,0.008384,0.012903,0.017640,0.017640,0.020719,0.021832
71,0.009327,0.014354,0.019625,0.019625,0.023050,0.024288
72,0.010336,0.015908,0.021750,0.021750,0.025545,0.026918
73,0.011439,0.017605,0.024069,0.024069,0.028269,0.029789
74,0.012684,0.019522,0.026690,0.026690,0.031348,0.033032
75,0.014120,0.021732,0.029711,0.029711,0.034896,0.036771
76,,0.024244,0.033146,0.033146,0.038930,0.041022
77,,,0.036920,0.036920,0.043363,0.045694
78,,,,0.040927,0.048070,0.050653
79,,,,,0.052934,0.055779
80,,,,,,0.061101
81,,,,,,0.066825
82,,,,,,0.073078
83,,,,,,0.079601
84,,,,,,0.086107
85,,,,,,0.092575
86,,,,,,0.099044
87,,,,,,0.105684
88,,,,,,0.112662
89,,,,,,0.119746
90,,,,,,0.125960
