Age exact x,0,1,2,3,4,5+
18,0.000114,0.000163,0.000188,0.000212,0.000224,0.000245
19,0.000115,0.000164,0.000189,0.000214,0.000226,0.000247
20,0.000116,0.000166,0.000192,0.000217,0.000229,0.000250
21,0.000118,0.000168,0.000194,0.000219,0.000231,0.000253
22,0.000120,0.000171,0.000197,0.000223,0.000235,0.000257
23,0.000122,0.000174,0.000200,0.000226,0.000239,0.000261
24,0.000124,0.000177,0.000204,0.000231,0.000243,0.000266
25,0.000126,0.000180,0.000208,0.000235,0.000248,0.000271
26,0.000129,0.000184,0.000212,0.000240,0.000253,0.000277
27,0.000132,0.000189,0.000218,0.000246,0.000260,0.000284
28,0.000136,0.000194,0.000224,0.000253,0.000267,0.000292
29,0.000140,0.000200,0.000230,0.000260,0.000274,0.000300
30,0.000144,0.000206,0.000238,0.000269,0.000284,0.000310
31,0.000150,0.000214,0.000246,0.000278,0.000294,0.000321
32,0.000156,0.000222,0.000256,0.000290,0.000306,0.000334
33,0.000162,0.000232,0.000267,0.000302,0.000318,0.000348
34,0.000170,0.000242,0.000279,0.000316,0.000333,0.000364
35,0.000178,0.000254,0.000293,0.000331,0.000349,0.000382
36,0.000187,0.000268,0.000308,0.000348,0.000368,0.000402
37,0.000198,0.000283,0.000326,0.000368,0.000389,0.000425
38,0.000210,0.000300,0.000345,0.000390,0.000412,0.000450
39,0.000223,0.000319,0.000368,0.000416,0.000439,0.000479
40,0.000239,0.000341,0.000393,0.000444,0.000469,0.000512
41,0.000256,0.000366,0.000421,0.000476,0.000502,0.000549
42,0.000275,0.000393,0.000453,0.000512,0.000541,0.000591
43,0.000297,0.000425,0.000489,0.000553,0.000584,0.000638
44,0.000322,0.000460,0.000530,0.000599,0.000632,0.000691
45,0.000350,0.000500,0.000576,0.000651,0.000687,0.000751
46,0.000381,0.000545,0.000628,0.000710,0.000749,0.000818
47,0.000417,0.000596,0.000686,0.000776,0.000819,0.000895
48,0.000457,0.000653,0.000752,0.000850,0.000897,0.000981
49,0.000502,0.000718,0.000827,0.000934,0.000986,0.001078
50,0.000553,0.000791,0.000911,0.001029,0.001086,0.001187
51,0.000611,0.000873,0.001005,0.001136,0.001199,0.001311
52,0.000676,0.000966,0.001112,0.001257,0.001327,0.001450
53,0.000749,0.001071,0.001233,0.001394,0.001471,0.001608
54,0.000832,0.001189,0.001369,0.001548,0.001633,0.001785
55,0.000925,0.001322,0.001523,0.001721,0.001816,0.001985
56,0.001030,0.001473,0.001696,0.001917,0.002023,0.002211
57,0.001149,0.001642,0.001891,0.002138,0.002256,0.002466
58,0.001283,0.001834,0.002112,0.002387,0.002519,0.002753
59,0.001434,0.002050,0.002360,0.002668,0.002816,0.003077
60,0.001604,0.002293,0.002641,0.002985,0.003150,0.003443
61,0.001797,0.002568,0.002957,0.003343,0.003528,0.003856
62,0.002013,0.002878,0.003314,0.003746,0.003953,0.004321
63,0.002258,0.003227,0.003716,0.004201,0.004434,0.004845
64,0.002534,0.003621,0.004170,0.004714,0.004975,0.005437
65,0.002845,0.004066,0.004682,0.005293,0.005586,0.006104
66,0.003195,0.004567,0.005259,0.005945,0.006274,0.006857
67,0.003591,0.005132,0.005910,0.006680,0.007050,0.007705
68,0.004036,0.005768,0.006643,0.007509,0.007925,0.008661
69,0.004539,0.006486,0.007470,0.008444,0.008911,0.009739
70,0.005105,0.007296,0.008402,0.009497,0.010023,0.010954
71,0.005743,0.008207,0.009452,0.010684,0.011276,0.012323
72,0.006462,0.009235,0.010635,0.012022,0.012687,0.013866
73,0.007282,0.010407,0.011985,0.013548,0.014298,0.015626
74,0.008250,0.011790,0.013578,0.015348,0.016198,0.017703
75,0.009404,0.013441,0.015479,0.017497,0.018466,0.020181
76,,0.015412,0.017749,0.020063,0.021174,0.023141
77,,,0.020384,0.023041,0.024317,0.026576
78,,,,0.026421,0.027883,0.030473
79,,,,,0.032028,0.035003
80,,,,,,0.040387
81,,,,,,0.046653
82,,,,,,0.053723
83,,,,,,0.061667
84,,,,,,0.070737
85,,,,,,0.081200
86,,,,,,0.093171
87,,,,,,0.106660
88,,,,,,0.121841
89,,,,,,0.138757
90,,,,,,0.156547
