Age exact x,0,1,2,3,4,5+
18,0.000184,0.000248,0.000284,0.000305,0.000310,0.000310
19,0.000186,0.000251,0.000287,0.000308,0.000313,0.000313
20,0.000188,0.000254,0.000291,0.000312,0.000317,0.000317
21,0.000190,0.000257,0.000294,0.000315,0.000321,0.000321
22,0.000193,0.000260,0.000298,0.000319,0.000325,0.000325
23,0.000196,0.000265,0.000303,0.000325,0.000331,0.000331
24,0.000200,0.000270,0.000309,0.000331,0.000337,0.000337
25,0.000204,0.000275,0.000315,0.000338,0.000344,0.000344
26,0.000208,0.000281,0.000322,0.000345,0.000351,0.000351
27,0.000213,0.000288,0.000330,0.000354,0.000360,0.000360
28,0.000219,0.000296,0.000339,0.000364,0.000370,0.000370
29,0.000226,0.000305,0.000349,0.000374,0.000381,0.000381
30,0.000233,0.000315,0.000360,0.000386,0.000393,0.000393
31,0.000241,0.000326,0.000373,0.000400,0.000407,0.000407
32,0.000251,0.000339,0.000388,0.000416,0.000423,0.000423
33,0.000261,0.000353,0.000404,0.000433,0.000441,0.000441
34,0.000273,0.000369,0.000423,0.000453,0.000461,0.000461
35,0.000286,0.000387,0.000443,0.000475,0.000483,0.000483
36,0.000302,0.000408,0.000467,0.000500,0.000509,0.000509
37,0.000319,0.000431,0.000493,0.000529,0.000538,0.000538
38,0.000343,0.000463,0.000530,0.000568,0.000578,0.000578
39,0.000376,0.000508,0.000582,0.000624,0.000635,0.000635
40,0.000424,0.000572,0.000655,0.000702,0.000714,0.000714
41,0.000488,0.000659,0.000754,0.000809,0.000823,0.000823
42,0.000561,0.000758,0.000868,0.000930,0.000946,0.000946
43,0.000644,0.000870,0.000997,0.001068,0.001087,0.001087
44,0.000739,0.000998,0.001143,0.001225,0.001246,0.001246
45,0.000846,0.001143,0.001308,0.001402,0.001427,0.001427
46,0.000967,0.001306,0.001496,0.001603,0.001631,0.001631
47,0.001104,0.001491,0.001707,0.001830,0.001862,0.001862
48,0.001258,0.001700,0.001946,0.002086,0.002122,0.002122
49,0.001432,0.001934,0.002215,0.002374,0.002415,0.002415
50,0.001627,0.002198,0.002517,0.002698,0.002744,0.002744
51,0.001846,0.002494,0.002855,0.003061,0.003114,0.003114
52,0.002092,0.002826,0.003235,0.003468,0.003528,0.003528
53,0.002366,0.003196,0.003659,0.003923,0.003990,0.003990
54,0.002673,0.003610,0.004133,0.004430,0.004507,0.004507
55,0.003014,0.004071,0.004661,0.004996,0.005083,0.005083
56,0.003394,0.004584,0.005248,0.005626,0.005723,0.005723
57,0.003816,0.005154,0.005900,0.006325,0.006434,0.006434
58,0.004283,0.005786,0.006624,0.007100,0.007223,0.007223
59,0.004801,0.006485,0.007424,0.007958,0.008096,0.008096
60,0.005373,0.007257,0.008308,0.008906,0.009060,0.009060
61,0.006003,0.008109,0.009284,0.009952,0.010124,0.010124
62,0.006698,0.009047,0.010357,0.011103,0.011295,0.011295
63,0.007461,0.010078,0.011537,0.012368,0.012582,0.012582
64,0.008298,0.011208,0.012832,0.013755,0.013993,0.013993
65,0.009214,0.012446,0.014249,0.015274,0.015539,0.015539
66,0.010216,0.013799,0.015798,0.016935,0.017228,0.017228
67,0.011309,0.015276,0.017488,0.018746,0.019071,0.019071
68,0.012499,0.016883,0.019328,0.020719,0.021077,0.021077
69,0.013792,0.018630,0.021328,0.022863,0.023258,0.023258
70,0.015195,0.020524,0.023497,0.025188,0.025624,0.025624
71,0.016714,0.022576,0.025845,0.027706,0.028185,0.028185
72,0.018355,0.024793,0.028383,0.030426,0.030952,0.030952
73,0.020125,0.027183,0.031120,0.033360,0.033937,0.033937
74,0.022029,0.029756,0.034066,0.036518,0.037149,0.037149
75,0.024075,0.032520,0.037230,0.039909,0.040599,0.040599
76,,0.035720,0.040893,0.043836,0.044594,0.044594
77,,,0.044959,0.048195,0.049029,0.049029
78,,,,0.052874,0.053788,0.053788
79,,,,,0.059072,0.059072
80,,,,,,0.065121
81,,,,,,0.071834
82,,,,,,0.078948
83,,,,,,0.086453
84,,,,,,0.094563
85,,,,,,0.103467
86,,,,,,0.113129
87,,,,,,0.123381
88,,,,,,0.134258
89,,,,,,0.145645
90,,,,,,0.156547
